Temperature,irradiation,Tc,eff,PowerS,wind speed,V(t),PowerW,PowerNuc,Flow_m3ps,PowerH,P_el
6.2,0,6.2,0.177013752,0,1.294,1.1,71.44291215,10000000,4.65,775480.5,59064000
6,0,6,0.177163734,0,1.355,1.15,84.15394627,10000000,4.65,775480.5,63672000
5.7,0,5.7,0.177352839,0,1.448,1.23,105.8945856,10000000,4.65,775480.5,67096000
5.5,0,5.5,0.177509344,0,1.5,1.27,119.1593009,10000000,4.65,775480.5,71772000
5.4,0,5.4,0.17755499,0,1.503,1.28,120.0205519,10000000,4.65,775480.5,71396000
5.3,0,5.3,0.177596289,0,1.461,1.24,109.1233241,10000000,4.65,775480.5,71576000
5.5,0,5.5,0.177502821,0,1.41,1.2,96.54601293,10000000,4.65,775480.5,70784000
7.1,14.0645,7.5,0.176124178,12.3854925,1.465,1.24,109.9407432,10000000,4.65,775480.5,69484000
9.7,101.065,12.8,0.172559776,87.19876865,1.603,1.36,148.5590674,10000000,4.65,775480.5,70664000
11.8,194.581,17.9,0.169127722,164.5452062,1.752,1.49,197.9619107,10000000,4.65,775480.5,69932000
13.4,313.742,23.2,0.165535992,259.6779656,1.942,1.65,274.7916408,10000000,4.65,775480.5,66144000
14.3,351,25.3,0.164144986,288.0744499,2.155,1.83,380.5224577,10000000,4.65,775480.5,61900000
14.7,375.419,26.4,0.163417787,306.7507112,2.252,1.91,436.0793707,10000000,4.65,775480.5,58360000
14.5,323.548,24.6,0.164620899,266.3138124,2.239,1.9,428.3899195,10000000,4.65,775480.5,62616000
13.8,251.484,21.7,0.16657529,209.4551006,2.09,1.78,346.1456311,10000000,4.65,775480.5,58520000
12.3,139.806,16.7,0.169950689,118.8006302,1.648,1.4,162.6757058,10000000,4.65,775480.5,59144000
10.2,60.4839,12.1,0.173053508,52.33475526,1.342,1.14,81.38040955,10000000,4.65,775480.5,63888000
8.8,0,8.8,0.175244389,0,1.335,1.13,80.01136927,10000000,4.65,775480.5,62860000
8.2,0,8.2,0.175661736,0,1.319,1.12,76.65041189,10000000,4.65,775480.5,63592000
7.7,0,7.7,0.176031253,0,1.29,1.1,70.80539198,10000000,4.65,775480.5,66680000
7.2,0,7.2,0.176335571,0,1.281,1.09,68.91578102,10000000,4.65,775480.5,67708000
6.9,0,6.9,0.176570321,0,1.277,1.09,68.29092859,10000000,4.65,775480.5,69984000
6.6,0,6.6,0.176742041,0,1.277,1.09,68.29092859,10000000,4.65,775480.5,59800000
6.4,0,6.4,0.176876808,0,1.3,1.1,72.7255372,10000000,4.65,775480.5,60140000
7.6,0,7.6,0.176077135,0,1.4,1.19,94.28688588,10000000,4.73,788822.1,58276000
7.35,0,7.3,0.176245593,0,1.43,1.21,101.0447387,10000000,4.73,788822.1,60172000
